Target Gain (dB)	Pin (dBm)	Target Output (dBm)	Gain (dB)	AGC error (dB)	AGC error Signal (dB)	Gain Flatness (dB)	Noise Figure (dB)	Laser1 Pwr (mW)	Laser2 Pwr (mW)	Laser3 Pwr (mW)	Laser4 Pwr (mW)	Laser5 Pwr (mW)	Src ch	Amp ch
10.000	-17.000	-7.000	10.143	0.143	-7.321	0.841	20.873	0.000	0.000	0.000	22.589	-1.000	2	2
10.000	-16.000	-6.000	10.049	0.049	-6.091	0.632	20.232	0.000	0.000	0.000	23.274	-1.000	2	2
10.000	-15.000	-5.000	10.009	0.009	-5.076	0.546	19.721	0.000	0.000	0.000	24.415	-1.000	2	2
10.000	-14.000	-4.000	9.999	-0.001	-4.159	0.505	19.233	0.000	0.000	0.000	25.556	-1.000	2	2
10.000	-13.000	-3.000	10.054	0.054	-3.509	0.417	18.937	0.000	0.000	0.000	26.696	-1.000	2	2
10.000	-12.000	-2.000	10.058	0.058	-2.750	0.365	18.467	0.000	0.000	0.000	28.065	-1.000	2	2
10.000	-11.000	-1.000	9.999	-0.001	-2.376	0.310	18.331	0.000	0.000	0.000	29.435	-1.000	2	2
10.000	-10.000	0.000	10.009	0.009	-1.757	0.295	17.911	0.000	0.000	0.000	31.260	-1.000	2	2
10.000	-9.000	1.000	10.028	0.028	-1.027	0.236	17.299	0.000	0.000	0.000	33.313	-1.000	2	2
10.000	-8.000	2.000	10.044	0.044	-0.999	0.238	17.378	0.000	0.000	0.000	35.595	-1.000	2	2
10.000	-7.000	3.000	10.044	0.044	-0.790	0.203	17.240	0.000	0.000	0.000	38.790	-1.000	2	2
10.000	-6.000	4.000	9.984	-0.016	-0.645	0.215	17.074	0.000	0.000	0.000	42.440	-1.000	2	2
10.000	-5.000	5.000	9.989	-0.011	-0.450	0.210	16.904	0.000	0.000	0.000	46.776	-1.000	2	2
10.000	-4.000	6.000	10.048	0.048	-0.340	0.220	16.691	0.000	0.000	0.000	52.480	-1.000	4	4
10.000	-3.000	7.000	10.004	0.004	-0.200	0.255	16.477	0.000	0.000	0.000	59.097	-1.000	4	4
10.000	-2.000	8.000	10.004	0.004	-0.116	0.227	16.232	0.000	0.000	0.000	67.312	-1.000	4	4
10.000	-1.000	9.000	9.989	-0.011	-0.092	-0.447	16.049	0.000	0.000	0.000	77.351	-1.000	8	8
10.000	0.000	10.000	10.048	0.048	-0.124	-0.452	15.917	0.000	0.000	0.000	89.216	-1.000	8	8
10.000	1.000	11.000	9.984	-0.016	-0.060	-0.458	15.704	0.000	0.000	0.000	105.188	-1.000	8	8
10.000	2.000	12.000	10.034	0.034	0.049	0.598	15.309	0.000	0.000	0.000	123.899	-1.000	16	16
10.000	3.000	13.000	10.024	0.024	-0.094	0.568	15.291	0.000	0.000	0.000	147.857	-1.000	16	16
10.000	4.000	14.000	9.949	-0.051	-0.041	0.590	15.085	0.000	0.000	0.000	176.151	-1.000	16	16
10.000	5.000	15.000	9.979	-0.021	0.044	1.238	14.758	0.000	0.000	0.000	211.974	-1.000	24	24
10.000	6.000	16.000	9.965	-0.035	0.039	1.268	14.561	0.000	0.000	0.000	257.609	-1.000	24	24
10.000	7.000	17.000	9.999	-0.001	0.004	1.155	14.610	0.000	0.000	0.000	313.968	-1.000	24	24
10.000	8.000	18.000	10.018	0.018	-0.011	1.100	14.491	0.000	0.000	0.000	376.032	-1.000	48	48
10.000	9.000	19.000	9.979	-0.021	0.011	1.006	14.417	0.000	0.000	0.000	457.946	-1.000	48	48
10.000	10.000	20.000	9.074	-0.926	-0.894	1.843	15.205	0.000	0.000	0.000	460.228	-1.000	48	48
11.000	-18.000	-7.000	10.877	-0.123	-7.384	0.697	19.874	0.000	0.000	0.000	22.361	-1.000	2	2
11.000	-17.000	-6.000	11.045	0.045	-5.901	0.530	19.018	0.000	0.000	0.000	23.502	-1.000	2	2
11.000	-16.000	-5.000	11.020	0.020	-4.765	0.438	18.351	0.000	0.000	0.000	24.415	-1.000	2	2
11.000	-15.000	-4.000	11.035	0.035	-4.150	0.343	18.132	0.000	0.000	0.000	25.327	-1.000	2	2
11.000	-14.000	-3.000	11.030	0.030	-3.139	0.236	17.458	0.000	0.000	0.000	26.696	-1.000	2	2
11.000	-13.000	-2.000	11.035	0.035	-2.700	0.276	17.277	0.000	0.000	0.000	27.837	-1.000	2	2
11.000	-12.000	-1.000	10.976	-0.024	-2.098	0.198	16.868	0.000	0.000	0.000	29.435	-1.000	2	2
11.000	-11.000	0.000	10.966	-0.034	-1.564	0.187	16.519	0.000	0.000	0.000	31.032	-1.000	2	2
11.000	-10.000	1.000	11.010	0.010	-1.127	0.131	16.236	0.000	0.000	0.000	33.085	-1.000	2	2
11.000	-9.000	2.000	11.000	0.000	-0.996	0.111	16.131	0.000	0.000	0.000	35.595	-1.000	2	2
11.000	-8.000	3.000	10.966	-0.034	-0.968	0.098	16.189	0.000	0.000	0.000	38.333	-1.000	2	2
11.000	-7.000	4.000	11.025	0.025	-0.562	0.121	15.727	0.000	0.000	0.000	42.440	-1.000	2	2
11.000	-6.000	5.000	10.990	-0.010	-0.479	0.065	15.551	0.000	0.000	0.000	46.548	-1.000	2	2
11.000	-5.000	6.000	10.931	-0.069	-0.165	0.215	15.170	0.000	0.000	0.000	51.796	-1.000	4	4
11.000	-4.000	7.000	11.025	0.025	-0.197	0.229	15.093	0.000	0.000	0.000	58.413	-1.000	4	4
11.000	-3.000	8.000	10.946	-0.054	-0.212	0.231	15.005	0.000	0.000	0.000	66.855	-1.000	4	4
11.000	-2.000	9.000	11.029	0.029	-0.124	-0.437	14.697	0.000	0.000	0.000	76.667	-1.000	8	8
11.000	-1.000	10.000	11.005	0.005	-0.113	-0.427	14.504	0.000	0.000	0.000	88.988	-1.000	8	8
11.000	0.000	11.000	10.990	-0.010	-0.010	-0.451	14.223	0.000	0.000	0.000	104.732	-1.000	8	8
11.000	1.000	12.000	10.956	-0.044	-0.017	0.551	13.970	0.000	0.000	0.000	123.214	-1.000	16	16
11.000	2.000	13.000	11.025	0.025	0.033	0.529	13.761	0.000	0.000	0.000	145.347	-1.000	16	16
11.000	3.000	14.000	10.990	-0.010	-0.036	0.544	13.674	0.000	0.000	0.000	176.379	-1.000	16	16
11.000	4.000	15.000	10.960	-0.040	0.043	1.134	13.378	0.000	0.000	0.000	211.062	-1.000	24	24
11.000	5.000	16.000	10.990	-0.010	-0.031	1.124	13.303	0.000	0.000	0.000	254.187	-1.000	24	24
11.000	6.000	17.000	10.966	-0.034	-0.008	1.045	13.156	0.000	0.000	0.000	312.143	-1.000	24	24
11.000	7.000	18.000	10.970	-0.030	0.054	-1.029	13.076	0.000	0.000	0.000	375.804	-1.000	48	48
11.000	8.000	19.000	10.980	-0.020	0.003	-1.013	13.070	0.000	0.000	0.000	457.490	-1.000	48	48
11.000	9.000	20.000	10.105	-0.895	-0.853	1.631	13.770	0.000	0.000	0.000	460.000	-1.000	48	48
11.000	10.000	21.000	9.087	-1.913	-1.891	2.453	14.671	0.000	0.000	0.000	460.000	-1.000	48	48
12.000	-19.000	-7.000	11.886	-0.114	-7.314	0.750	18.816	0.000	0.000	0.000	22.361	-1.000	2	2
12.000	-18.000	-6.000	12.041	0.041	-5.911	0.637	17.943	0.000	0.000	0.000	23.046	-1.000	2	2
12.000	-17.000	-5.000	12.021	0.021	-4.627	0.503	17.131	0.000	0.000	0.000	24.187	-1.000	2	2
