Wavelength (nm)	Channel Gain (dB)
1.529635E-6	13.165186
1.53121E-6	12.666162
1.532695E-6	12.542686
1.53427E-6	13.034995
1.5358E-6	12.788328
1.53742E-6	13.105925
1.53904E-6	13.661707
1.54066E-6	13.210519
1.542235E-6	13.16117
1.54381E-6	13.097932
1.54543E-6	12.573226
1.54696E-6	13.162713
1.548535E-6	12.933808
1.5502E-6	12.919249
1.551775E-6	12.973303
1.553395E-6	12.985115
1.555015E-6	12.90527
1.556635E-6	12.842713
1.558165E-6	12.720854
1.559785E-6	13.00116
1.561405E-6	13.022155
1.563025E-6	13.141568
1.564645E-6	13.246242
1.56631E-6	13.283244
