Wavelength (nm)	Channel Gain (dB)
1.52968E-6	19.22914
1.53121E-6	18.893216
1.532695E-6	18.842288
1.53427E-6	18.885174
1.5358E-6	18.972404
1.53742E-6	19.21379
1.539085E-6	18.939706
1.54066E-6	19.275087
1.542235E-6	19.216483
1.54381E-6	19.045401
1.545385E-6	19.48678
1.547005E-6	18.78188
1.54858E-6	18.966526
1.5502E-6	18.960499
1.55182E-6	18.992016
1.55344E-6	18.600847
1.555015E-6	18.904899
1.556635E-6	19.006993
1.55821E-6	19.266219
1.559785E-6	18.942382
1.561405E-6	18.973728
1.563025E-6	19.077458
1.564645E-6	19.15922
1.56631E-6	19.201715
