Wavelength (nm)	Noise Figure (dB)
1.52887E-6	4.67068
1.52968E-6	4.741371
1.530445E-6	4.781106
1.53121E-6	4.808517
1.531975E-6	4.828648
1.53274E-6	4.509235
1.53346E-6	4.665448
1.53427E-6	3.233225
1.535035E-6	4.613349
1.5358E-6	4.357771
1.53661E-6	4.527502
1.53742E-6	4.529334
1.538275E-6	4.590721
1.539085E-6	4.63059
1.53985E-6	4.621996
1.54066E-6	4.673403
1.541425E-6	3.999145
1.542235E-6	4.704808
1.543045E-6	4.747388
1.54381E-6	4.760611
1.54462E-6	4.765484
1.54543E-6	4.815391
1.546195E-6	4.80702
1.547005E-6	5.056418
1.54777E-6	4.423335
1.54858E-6	4.845087
1.54939E-6	4.886115
1.550155E-6	4.866936
1.55101E-6	4.508827
1.55182E-6	4.890587
1.55263E-6	4.892072
1.55344E-6	5.55873
1.554205E-6	4.93669
1.555015E-6	4.931059
1.555825E-6	5.016266
1.55659E-6	4.786262
1.5574E-6	4.780491
1.55821E-6	4.988391
1.55902E-6	4.597324
1.55983E-6	4.527498
1.560595E-6	4.799214
1.561405E-6	4.707189
1.562215E-6	4.689089
1.563025E-6	4.550012
1.563835E-6	4.408702
1.564645E-6	4.394938
1.5655E-6	4.314364
1.56631E-6	4.231088
