Wavelength (nm)	Noise Figure (dB)
1.52887E-6	4.424356
1.52968E-6	4.441951
1.530445E-6	4.515577
1.53121E-6	4.772877
1.531975E-6	4.490021
1.532695E-6	4.410559
1.53346E-6	4.363687
1.53427E-6	4.396895
1.535035E-6	4.305361
1.5358E-6	4.117673
1.53661E-6	4.320937
1.53742E-6	4.347506
1.538275E-6	4.600919
1.539085E-6	4.375919
1.53985E-6	4.39527
1.54066E-6	4.425026
1.541425E-6	4.417758
1.542235E-6	4.473364
1.543045E-6	4.545131
1.54381E-6	4.508435
1.544575E-6	4.172389
1.54543E-6	5.024902
1.546195E-6	4.535075
1.547005E-6	4.531102
1.547815E-6	4.531126
1.54858E-6	4.538205
1.549345E-6	4.574124
1.5502E-6	4.755592
1.55101E-6	4.577205
1.55182E-6	4.993007
1.55263E-6	4.574281
1.55344E-6	4.638234
1.554205E-6	4.546701
1.555015E-6	4.596294
1.555825E-6	4.581265
1.55659E-6	4.607074
1.557445E-6	4.627534
1.55821E-6	4.655237
1.558975E-6	4.63944
1.559785E-6	4.554236
1.560595E-6	4.570235
1.561405E-6	4.468269
1.562215E-6	4.355686
1.563025E-6	4.338904
1.563835E-6	4.252388
1.564645E-6	4.118696
1.5655E-6	3.057599
1.56631E-6	4.030812
