Wavelength (nm)	Power (dBm)
1.525E-6	-58.529423
1.525045E-6	-58.53252
1.52509E-6	-59.273825
1.525135E-6	-61.553986
1.52518E-6	-65.850267
1.525225E-6	-70.277046
1.52527E-6	-72.560984
1.525315E-6	-72.903909
1.52536E-6	-72.796753
1.525405E-6	-72.454988
1.52545E-6	-68.965384
1.525495E-6	-62.623304
1.52554E-6	-59.136402
1.525585E-6	-57.617029
1.52563E-6	-57.23998
1.525675E-6	-57.079656
1.52572E-6	-56.90157
1.525765E-6	-56.716204
1.52581E-6	-56.645421
1.525855E-6	-57.196493
1.5259E-6	-59.233596
1.525945E-6	-63.181259
1.52599E-6	-68.71924
1.526035E-6	-71.609621
1.52608E-6	-72.582183
1.526125E-6	-72.395775
1.52617E-6	-72.378468
1.526215E-6	-69.609827
1.52626E-6	-62.367218
1.526305E-6	-58.320922
1.52635E-6	-56.352614
1.526395E-6	-55.813673
1.52644E-6	-55.643149
1.526485E-6	-55.52222
1.52653E-6	-55.450028
1.526575E-6	-55.44546
1.52662E-6	-55.752817
1.526665E-6	-57.281584
1.52671E-6	-60.616805
1.526755E-6	-66.232406
1.5268E-6	-70.566044
1.526845E-6	-72.139588
1.52689E-6	-72.250453
1.526935E-6	-72.326215
1.52698E-6	-70.37536
1.527025E-6	-62.8208
1.52707E-6	-57.700623
1.527115E-6	-55.410601
1.52716E-6	-54.62055
1.527205E-6	-54.411715
1.52725E-6	-54.335625
1.527295E-6	-54.294571
1.52734E-6	-54.236586
1.527385E-6	-54.380642
1.52743E-6	-55.49443
1.527475E-6	-58.623295
1.52752E-6	-63.682519
1.527565E-6	-69.54677
1.52761E-6	-71.844887
1.527655E-6	-72.180293
1.5277E-6	-71.921269
1.527745E-6	-71.216506
1.52779E-6	-64.231981
1.527835E-6	-57.835702
1.52788E-6	-54.830682
1.527925E-6	-53.748934
1.52797E-6	-53.464016
1.528015E-6	-53.404641
1.52806E-6	-53.346066
1.528105E-6	-53.304972
1.52815E-6	-53.362049
1.528195E-6	-54.108326
1.52824E-6	-56.437829
1.528285E-6	-60.908721
1.52833E-6	-67.269987
1.528375E-6	-70.937727
1.52842E-6	-71.894987
1.528465E-6	-71.705676
1.52851E-6	-71.54902
1.528555E-6	-65.705707
1.5286E-6	-58.794261
1.528645E-6	-54.758636
1.52869E-6	-53.146166
1.528735E-6	-52.740884
1.52878E-6	-52.656803
1.528825E-6	-52.620127
1.52887E-6	-52.589272
1.528915E-6	-52.54769
1.52896E-6	-52.994693
1.529005E-6	-54.843911
1.52905E-6	-58.900841
1.529095E-6	-64.653394
1.52914E-6	-69.863203
1.529185E-6	-70.825995
1.52923E-6	-69.92679
1.529275E-6	-66.043242
1.52932E-6	-58.979095
1.529365E-6	-41.8923
1.52941E-6	-33.552661
1.529455E-6	-29.833845
1.5295E-6	-28.350526
1.529545E-6	-28.043771
1.52959E-6	-27.93444
1.529635E-6	-27.8199
1.52968E-6	-27.835702
1.529725E-6	-28.840568
1.52977E-6	-31.929388
1.529815E-6	-39.404366
1.52986E-6	-50.129597
1.529905E-6	-59.613798
1.52995E-6	-64.92279
1.529995E-6	-68.735439
1.53004E-6	-70.170055
1.530085E-6	-69.854795
1.53013E-6	-62.372464
1.530175E-6	-55.991168
1.53022E-6	-53.090954
1.530265E-6	-51.972263
1.53031E-6	-51.753536
1.530355E-6	-51.710824
1.5304E-6	-51.65325
1.530445E-6	-51.586405
1.53049E-6	-51.681302
1.530535E-6	-52.504183
1.53058E-6	-54.895891
1.530625E-6	-59.738755
1.53067E-6	-65.972229
1.530715E-6	-69.779843
1.53076E-6	-70.530567
1.530805E-6	-68.958544
1.53085E-6	-64.007721
1.530895E-6	-53.604139
1.53094E-6	-38.013429
1.530985E-6	-31.828976
1.53103E-6	-28.996295
1.531075E-6	-28.17015
1.53112E-6	-27.994231
1.531165E-6	-27.880789
1.53121E-6	-27.862167
1.531255E-6	-28.093882
1.5313E-6	-29.601894
1.531345E-6	-33.548726
1.53139E-6	-41.548399
1.531435E-6	-52.783542
1.53148E-6	-61.467278
1.531525E-6	-66.197888
1.53157E-6	-69.240882
1.531615E-6	-70.220479
1.53166E-6	-68.184422
1.531705E-6	-59.829667
1.53175E-6	-54.532106
1.531795E-6	-52.183164
1.53184E-6	-51.478251
1.531885E-6	-51.364987
1.53193E-6	-51.42366
1.531975E-6	-51.441176
1.53202E-6	-51.418841
1.532065E-6	-51.617808
1.53211E-6	-52.743333
1.532155E-6	-55.760991
1.5322E-6	-60.820221
1.532245E-6	-67.356545
1.53229E-6	-70.245222
1.532335E-6	-70.200876
1.53238E-6	-68.184422
1.532425E-6	-62.385984
1.53247E-6	-49.829667
1.532515E-6	-36.038007
1.53256E-6	-30.666646
1.532605E-6	-28.572978
1.53265E-6	-28.021683
1.532695E-6	-27.953375
1.53274E-6	-27.956087
1.532785E-6	-28.052082
1.53283E-6	-28.489367
1.532875E-6	-30.371573
1.53292E-6	-35.228787
1.532965E-6	-44.329736
1.53301E-6	-55.774102
1.533055E-6	-62.053726
1.5331E-6	-67.293212
1.533145E-6	-69.542859
1.53319E-6	-70.350336
1.533235E-6	-66.677636
1.53328E-6	-59.255493
1.533325E-6	-54.521023
1.53337E-6	-52.56647
1.533415E-6	-52.010733
1.53346E-6	-51.9382
1.533505E-6	-51.982534
1.53355E-6	-52.03495
1.533595E-6	-52.14955
1.53364E-6	-52.442776
1.533685E-6	-53.82266
1.53373E-6	-57.137681
1.533775E-6	-62.645608
1.53382E-6	-68.642315
1.533865E-6	-70.558135
1.53391E-6	-69.821323
1.533955E-6	-67.253804
1.534E-6	-61.482526
1.534045E-6	-48.027194
1.53409E-6	-35.281218
1.534135E-6	-30.2489
1.53418E-6	-28.365404
1.534225E-6	-27.983298
1.53427E-6	-27.969671
1.534315E-6	-28.091083
1.53436E-6	-28.184422
1.534405E-6	-28.728952
1.53445E-6	-30.941502
1.534495E-6	-36.165437
1.53454E-6	-45.632015
1.534585E-6	-56.609463
1.53463E-6	-62.799234
1.534675E-6	-67.867479
1.53472E-6	-69.842212
1.534765E-6	-70.590355
1.53481E-6	-66.703988
1.534855E-6	-59.821323
1.5349E-6	-55.590909
1.534945E-6	-53.91367
1.53499E-6	-53.494011
1.535035E-6	-53.443814
1.53508E-6	-53.503731
1.535125E-6	-53.520305
1.53517E-6	-53.568435
1.535215E-6	-53.931889
1.53526E-6	-55.489815
1.535305E-6	-59.062282
1.53535E-6	-64.374692
1.535395E-6	-69.574245
1.53544E-6	-70.831777
1.535485E-6	-70.256265
1.53553E-6	-67.10634
1.535575E-6	-61.008911
1.53562E-6	-47.121983
1.535665E-6	-34.918745
1.53571E-6	-30.043209
1.535755E-6	-28.215987
1.5358E-6	-27.840982
1.535845E-6	-27.90217
1.53589E-6	-27.969671
1.535935E-6	-28.127614
1.53598E-6	-28.745187
1.536025E-6	-31.082953
1.53607E-6	-36.991872
1.536115E-6	-47.304871
1.53616E-6	-57.639669
1.536205E-6	-63.634118
1.53625E-6	-68.17015
1.536295E-6	-70.07579
1.53634E-6	-70.799289
1.536385E-6	-67.358908
1.53643E-6	-60.875654
1.536475E-6	-56.763355
1.53652E-6	-55.195619
1.536565E-6	-54.80172
1.53661E-6	-54.750849
1.536655E-6	-54.779472
1.5367E-6	-54.805658
1.536745E-6	-54.858509
