Wavelength (nm)	Power (dBm)
1.525E-6	-49.888526
1.525045E-6	-49.775716
1.52509E-6	-49.93534
1.525135E-6	-50.531549
1.52518E-6	-51.195866
1.525225E-6	-51.444808
1.52527E-6	-51.432711
1.525315E-6	-51.360826
1.52536E-6	-51.286022
1.525405E-6	-51.201589
1.52545E-6	-50.92965
1.525495E-6	-50.028321
1.52554E-6	-48.833923
1.525585E-6	-48.065971
1.52563E-6	-47.74174
1.525675E-6	-47.544873
1.52572E-6	-47.347104
1.525765E-6	-47.142177
1.52581E-6	-47.000571
1.525855E-6	-47.176045
1.5259E-6	-48.027194
1.525945E-6	-49.333014
1.52599E-6	-50.08641
1.526035E-6	-50.210894
1.52608E-6	-50.178193
1.526125E-6	-50.104167
1.52617E-6	-50.037511
1.526215E-6	-49.796387
1.52626E-6	-48.620133
1.526305E-6	-46.907958
1.52635E-6	-45.62408
1.526395E-6	-45.273898
1.52644E-6	-45.05289
1.526485E-6	-44.886515
1.52653E-6	-44.749552
1.526575E-6	-44.685211
1.52662E-6	-44.835969
1.526665E-6	-45.807053
1.52671E-6	-47.572102
1.526755E-6	-48.897471
1.5268E-6	-49.182927
1.526845E-6	-49.197344
1.52689E-6	-49.132843
1.526935E-6	-49.072794
1.52698E-6	-48.843895
1.527025E-6	-47.375489
1.52707E-6	-45.130031
1.527115E-6	-43.628106
1.52716E-6	-43.049563
1.527205E-6	-42.823295
1.52725E-6	-42.71565
1.527295E-6	-42.626483
1.52734E-6	-42.522775
1.527385E-6	-42.609818
1.52743E-6	-43.517376
1.527475E-6	-45.533075
1.52752E-6	-47.62205
1.527565E-6	-48.41336
1.52761E-6	-48.501653
1.527655E-6	-48.452718
1.5277E-6	-48.44057
1.527745E-6	-48.297383
1.52779E-6	-47.077439
1.527835E-6	-44.381833
1.52788E-6	-42.335872
1.527925E-6	-41.531682
1.52797E-6	-41.323558
1.528015E-6	-41.237822
1.52806E-6	-41.147519
1.528105E-6	-41.107543
1.52815E-6	-41.163386
1.528195E-6	-41.809828
1.52824E-6	-43.633116
1.528285E-6	-46.328305
1.52833E-6	-47.8199
1.528375E-6	-48.099486
1.52842E-6	-48.065971
1.528465E-6	-47.856861
1.52851E-6	-46.878226
1.528555E-6	-41.115958
1.5286E-6	-28.335699
1.528645E-6	-20.890556
1.52869E-6	-17.801536
1.528735E-6	-16.821455
1.52878E-6	-16.550186
1.528825E-6	-16.434006
1.52887E-6	-16.332036
1.528915E-6	-16.474316
1.52896E-6	-17.9588
1.529005E-6	-22.038421
1.52905E-6	-30.739149
1.529095E-6	-40.289098
1.52914E-6	-45.723516
1.529185E-6	-47.408842
1.52923E-6	-47.726276
1.529275E-6	-47.377863
1.52932E-6	-45.117314
1.529365E-6	-32.360482
1.52941E-6	-22.727842
1.529455E-6	-18.722475
1.5295E-6	-17.16925
1.529545E-6	-16.823545
1.52959E-6	-16.714166
1.529635E-6	-16.641411
1.52968E-6	-16.665527
1.529725E-6	-17.539941
1.52977E-6	-20.604308
1.529815E-6	-27.672579
1.52986E-6	-38.175853
1.529905E-6	-44.616777
1.52995E-6	-47.164726
1.529995E-6	-47.736579
1.53004E-6	-47.604503
1.530085E-6	-46.373291
1.53013E-6	-37.2262
1.530175E-6	-25.033471
1.53022E-6	-19.812995
1.530265E-6	-17.614521
1.53031E-6	-17.039933
1.530355E-6	-16.903698
1.5304E-6	-16.848697
1.530445E-6	-16.817279
1.53049E-6	-17.173779
1.530535E-6	-19.197344
1.53058E-6	-24.334447
1.530625E-6	-34.397346
1.53067E-6	-42.725401
1.530715E-6	-46.599527
1.53076E-6	-47.644716
1.530805E-6	-47.75208
1.53085E-6	-47.035542
1.530895E-6	-42.421487
1.53094E-6	-28.483238
1.530985E-6	-21.173616
1.53103E-6	-18.224635
1.531075E-6	-17.349462
1.53112E-6	-17.160207
1.531165E-6	-17.135435
1.53121E-6	-17.101882
1.531255E-6	-17.265357
1.5313E-6	-18.616973
1.531345E-6	-22.487209
1.53139E-6	-30.533513
1.531435E-6	-40.454681
1.53148E-6	-45.907433
1.531525E-6	-47.520267
1.53157E-6	-47.825161
1.531615E-6	-47.500682
1.53166E-6	-45.410601
1.531705E-6	-32.931969
1.53175E-6	-23.189398
1.531795E-6	-19.023957
1.53184E-6	-17.490923
1.531885E-6	-17.16925
1.53193E-6	-17.10634
1.531975E-6	-17.115272
1.53202E-6	-17.153437
1.532065E-6	-17.840982
1.53211E-6	-20.428239
1.532155E-6	-26.597542
1.5322E-6	-37.189666
1.532245E-6	-44.219341
1.53229E-6	-47.090754
1.532335E-6	-47.809397
1.53238E-6	-47.75208
1.532425E-6	-46.66956
1.53247E-6	-39.442395
1.532515E-6	-25.717032
1.53256E-6	-20.118425
1.532605E-6	-17.830428
1.53265E-6	-17.269987
1.532695E-6	-17.173779
1.53274E-6	-17.178312
1.532785E-6	-17.251497
1.53283E-6	-17.619539
1.532875E-6	-19.442395
1.53292E-6	-24.058285
1.532965E-6	-33.338566
1.53301E-6	-42.227182
1.533055E-6	-46.538427
1.5331E-6	-47.785858
1.533145E-6	-47.94525
1.53319E-6	-47.476325
1.533235E-6	-44.633153
1.53328E-6	-31.221106
1.533325E-6	-22.299584
1.53337E-6	-18.626459
1.533415E-6	-17.373117
1.53346E-6	-17.187393
1.533505E-6	-17.205612
1.53355E-6	-17.276942
1.533595E-6	-17.447275
1.53364E-6	-18.425432
1.533685E-6	-21.619069
1.53373E-6	-28.827287
1.533775E-6	-39.292235
1.53382E-6	-45.272436
1.533865E-6	-47.557229
1.53391E-6	-48.065971
1.533955E-6	-47.891466
1.534E-6	-46.470461
1.534045E-6	-37.128704
1.53409E-6	-24.8096
1.534135E-6	-19.621752
1.53418E-6	-17.572102
1.534225E-6	-17.153437
1.53427E-6	-17.153437
1.534315E-6	-17.230789
1.53436E-6	-17.340036
1.534405E-6	-17.835702
1.53445E-6	-19.93962
1.534495E-6	-24.913356
1.53454E-6	-34.672456
