Wavelength (nm)	Power (dBm)
1.525E-6	-48.517059
1.525045E-6	-48.425432
1.52509E-6	-48.326827
1.525135E-6	-48.241984
1.52518E-6	-48.141746
1.525225E-6	-48.021683
1.52527E-6	-47.929045
1.525315E-6	-47.846268
1.52536E-6	-47.759852
1.525405E-6	-47.672579
1.52545E-6	-47.572102
1.525495E-6	-47.50557
1.52554E-6	-47.428016
1.525585E-6	-47.330631
1.52563E-6	-47.258422
1.525675E-6	-47.16925
1.52572E-6	-47.081873
1.525765E-6	-47.002748
1.52581E-6	-46.948637
1.525855E-6	-46.880343
1.5259E-6	-46.813107
1.525945E-6	-46.74074
1.52599E-6	-46.663512
1.526035E-6	-46.601512
1.52608E-6	-46.534514
1.526125E-6	-46.487837
1.52617E-6	-46.40544
1.526215E-6	-46.33017
1.52626E-6	-46.256183
1.526305E-6	-46.196078
1.52635E-6	-46.133227
1.526395E-6	-46.080069
1.52644E-6	-46.036263
1.526485E-6	-45.934598
1.52653E-6	-45.902359
1.526575E-6	-45.858626
1.52662E-6	-45.797141
1.526665E-6	-45.746288
1.52671E-6	-45.699249
1.526755E-6	-45.665502
1.5268E-6	-45.606673
1.526845E-6	-45.554868
1.52689E-6	-45.511392
1.526935E-6	-45.43634
1.52698E-6	-45.394028
1.527025E-6	-45.36555
1.52707E-6	-45.320961
1.527115E-6	-45.273898
1.52716E-6	-45.259295
1.527205E-6	-45.198493
1.52725E-6	-45.147046
1.527295E-6	-45.120137
1.52734E-6	-45.080783
1.527385E-6	-45.069604
1.52743E-6	-45.036239
1.527475E-6	-44.967542
1.52752E-6	-44.971634
1.527565E-6	-44.962093
1.52761E-6	-44.925489
1.527655E-6	-44.887853
1.5277E-6	-44.858509
1.527745E-6	-44.822764
1.52779E-6	-44.825402
1.527835E-6	-44.78339
1.52788E-6	-44.750849
1.527925E-6	-44.739193
1.52797E-6	-44.667365
1.528015E-6	-44.680104
1.52806E-6	-44.638205
1.528105E-6	-44.653394
1.52815E-6	-44.619292
1.528195E-6	-44.619292
1.52824E-6	-44.606729
1.528285E-6	-44.569258
1.52833E-6	-44.621809
1.528375E-6	-44.574235
1.52842E-6	-44.566771
1.528465E-6	-44.558079
1.52851E-6	-44.525945
1.528555E-6	-44.521023
1.5286E-6	-44.516106
1.528645E-6	-44.512422
1.52869E-6	-44.455108
1.528735E-6	-44.453897
1.52878E-6	-44.440596
1.528825E-6	-44.428539
1.52887E-6	-44.429743
1.528915E-6	-44.426131
1.52896E-6	-44.393761
1.529005E-6	-44.418917
1.52905E-6	-44.423725
1.529095E-6	-44.418917
1.52914E-6	-44.411715
1.529185E-6	-44.40213
1.52923E-6	-44.392567
1.529275E-6	-44.390179
1.52932E-6	-44.399738
1.529365E-6	-44.408118
1.52941E-6	-44.366376
1.529455E-6	-44.386601
1.5295E-6	-44.385408
1.529545E-6	-44.335625
1.52959E-6	-44.353339
1.529635E-6	-44.374692
1.52968E-6	-44.355707
1.529725E-6	-44.355707
1.52977E-6	-44.364003
1.529815E-6	-44.365189
1.52986E-6	-44.390179
1.529905E-6	-44.396151
1.52995E-6	-44.396151
1.529995E-6	-44.377071
1.53004E-6	-44.367563
1.530085E-6	-44.373503
1.53013E-6	-44.403327
1.530175E-6	-44.398542
1.53022E-6	-44.353339
1.530265E-6	-44.340342
1.53031E-6	-44.355707
1.530355E-6	-44.384216
1.5304E-6	-44.366376
1.530445E-6	-44.365189
1.53049E-6	-44.394956
1.530535E-6	-44.369938
1.53058E-6	-44.420119
1.530625E-6	-44.416515
1.53067E-6	-44.409317
1.530715E-6	-44.429743
1.53076E-6	-44.428539
1.530805E-6	-44.436975
1.53085E-6	-44.436975
1.530895E-6	-44.438182
1.53094E-6	-44.457532
1.530985E-6	-44.446637
1.53103E-6	-44.411715
1.531075E-6	-44.46967
1.53112E-6	-44.450265
1.531165E-6	-44.463597
1.53121E-6	-44.459957
1.531255E-6	-44.470885
1.5313E-6	-44.492826
1.531345E-6	-44.53334
1.53139E-6	-44.545692
1.531435E-6	-44.525945
1.53148E-6	-44.546929
1.531525E-6	-44.549404
1.53157E-6	-44.577972
1.531615E-6	-44.619292
1.53166E-6	-44.619292
1.531705E-6	-44.590452
1.53175E-6	-44.591702
1.531795E-6	-44.579219
1.53184E-6	-44.629369
1.531885E-6	-44.623068
1.53193E-6	-44.631891
1.531975E-6	-44.654662
1.53202E-6	-44.667365
1.532065E-6	-44.668637
1.53211E-6	-44.708264
1.532155E-6	-44.727569
1.5322E-6	-44.744369
1.532245E-6	-44.763836
1.53229E-6	-44.793855
1.532335E-6	-44.80172
1.53238E-6	-44.810914
1.532425E-6	-44.846561
1.53247E-6	-44.847887
1.532515E-6	-44.846561
1.53256E-6	-44.877159
1.532605E-6	-44.881166
1.53265E-6	-44.905286
1.532695E-6	-44.936303
1.53274E-6	-44.92279
1.532785E-6	-44.966179
1.53283E-6	-44.989407
1.532875E-6	-45.010006
1.53292E-6	-45.069604
1.532965E-6	-45.090588
1.53301E-6	-45.100415
1.533055E-6	-45.094797
1.5331E-6	-45.134278
1.533145E-6	-45.178413
1.53319E-6	-45.197055
1.533235E-6	-45.194182
1.53328E-6	-45.215778
1.533325E-6	-45.237482
1.53337E-6	-45.25638
1.533415E-6	-45.270973
1.53346E-6	-45.306199
1.533505E-6	-45.294425
1.53355E-6	-45.318004
1.533595E-6	-45.36555
1.53364E-6	-45.388017
1.533685E-6	-45.457651
1.53373E-6	-45.474469
1.533775E-6	-45.497509
1.53382E-6	-45.545515
1.533865E-6	-45.573635
1.53391E-6	-45.611413
1.533955E-6	-45.622494
1.534E-6	-45.639965
1.534045E-6	-45.659104
1.53409E-6	-45.678327
1.534135E-6	-45.712175
1.53418E-6	-45.723516
1.534225E-6	-45.759355
1.53427E-6	-45.779028
1.534315E-6	-45.803746
1.53436E-6	-45.841923
1.534405E-6	-45.878756
1.53445E-6	-45.895602
1.534495E-6	-45.915904
1.53454E-6	-45.949953
1.534585E-6	-46.008457
1.53463E-6	-46.041496
1.534675E-6	-46.076548
1.53472E-6	-46.094181
1.534765E-6	-46.127882
1.53481E-6	-46.145725
1.534855E-6	-46.160052
1.5349E-6	-46.208759
1.534945E-6	-46.196078
1.53499E-6	-46.225116
1.535035E-6	-46.236056
1.53508E-6	-46.27088
