Wavelength (nm)	Power (dBm)
1.525E-6	-79.273825
1.525045E-6	-79.500071
1.52509E-6	-80.339522
1.525135E-6	-82.375465
1.52518E-6	-120
1.525225E-6	-91.671081
1.52527E-6	-120
1.525315E-6	-88.27689
1.52536E-6	-120
1.525405E-6	-90.215912
1.52545E-6	-97.290884
1.525495E-6	-85.720273
1.52554E-6	-83.52617
1.525585E-6	-79.237237
1.52563E-6	-78.53872
1.525675E-6	-78.610661
1.52572E-6	-78.924509
1.525765E-6	-78.486301
1.52581E-6	-78.247782
1.525855E-6	-78.480176
1.5259E-6	-80.063874
1.525945E-6	-82.027325
1.52599E-6	-87.883456
1.526035E-6	-88.843895
1.52608E-6	-96.158259
1.526125E-6	-92.865095
1.52617E-6	-120
1.526215E-6	-93.879583
1.52626E-6	-85.991168
1.526305E-6	-81.561446
1.52635E-6	-77.939841
1.526395E-6	-77.256112
1.52644E-6	-76.899443
1.526485E-6	-76.836102
1.52653E-6	-77.037737
1.526575E-6	-76.761294
1.52662E-6	-77.171514
1.526665E-6	-78.683813
1.52671E-6	-79.863203
1.526755E-6	-84.027437
1.5268E-6	-90.006954
1.526845E-6	-90.579919
1.52689E-6	-91.203881
1.526935E-6	-89.641702
1.52698E-6	-90.616304
1.527025E-6	-87.74174
1.52707E-6	-80.195421
1.527115E-6	-77.413627
1.52716E-6	-76.17983
1.527205E-6	-76.104795
1.52725E-6	-75.579908
1.527295E-6	-75.676722
1.52734E-6	-75.56737
1.527385E-6	-75.833595
1.52743E-6	-76.558043
1.527475E-6	-78.890738
1.52752E-6	-82.510371
1.527565E-6	-87.166988
1.52761E-6	-90.207249
1.527655E-6	-120
1.5277E-6	-94.728859
1.527745E-6	-120
1.52779E-6	-120
1.527835E-6	-82.12823
1.52788E-6	-77.117508
1.527925E-6	-75.367044
1.52797E-6	-74.878495
1.528015E-6	-74.849213
1.52806E-6	-74.796475
1.528105E-6	-74.727569
1.52815E-6	-74.881166
1.528195E-6	-75.439378
1.52824E-6	-79.240882
1.528285E-6	-80.529586
1.52833E-6	-86.834007
1.528375E-6	-92.532102
1.52842E-6	-120
1.528465E-6	-120
1.52851E-6	-92.622509
1.528555E-6	-91.691548
1.5286E-6	-83.78097
1.528645E-6	-78.150248
1.52869E-6	-75.142786
1.528735E-6	-74.487941
1.52878E-6	-74.071573
1.528825E-6	-74.435769
1.52887E-6	-74.251588
1.528915E-6	-73.853137
1.52896E-6	-74.272445
1.529005E-6	-75.657505
1.52905E-6	-78.9279
1.529095E-6	-82.675258
1.52914E-6	-99.892761
1.529185E-6	-90.580912
1.52923E-6	-89.913998
1.529275E-6	-120
1.52932E-6	-108.341624
1.529365E-6	-84.873156
1.52941E-6	-78.576105
1.529455E-6	-74.734023
1.5295E-6	-73.936186
1.529545E-6	-73.645163
1.52959E-6	-73.512498
1.529635E-6	-73.495953
1.52968E-6	-73.540867
1.529725E-6	-73.758211
1.52977E-6	-74.537042
1.529815E-6	-76.959405
1.52986E-6	-80.302115
1.529905E-6	-86.983191
1.52995E-6	-90.067402
1.529995E-6	-87.452103
1.53004E-6	-91.656429
1.530085E-6	-87.825161
1.53013E-6	-86.511113
1.530175E-6	-80.117533
1.53022E-6	-75.169836
1.530265E-6	-73.616106
1.53031E-6	-73.095381
1.530355E-6	-73.216638
1.5304E-6	-73.212086
1.530445E-6	-73.247717
1.53049E-6	-73.156934
1.530535E-6	-73.584267
1.53058E-6	-75.793842
1.530625E-6	-78.709549
1.53067E-6	-82.88699
1.530715E-6	-90.409586
1.53076E-6	-95.278289
1.530805E-6	-90.209071
1.53085E-6	-90.935572
1.530895E-6	-120
1.53094E-6	-81.719204
1.530985E-6	-76.071273
1.53103E-6	-73.82266
1.531075E-6	-73.16953
1.53112E-6	-73.068889
1.531165E-6	-72.995559
1.53121E-6	-72.972249
1.531255E-6	-72.908997
1.5313E-6	-73.322669
1.531345E-6	-74.223933
1.53139E-6	-77.791078
1.531435E-6	-81.76265
1.53148E-6	-93.517376
1.531525E-6	-103.162327
1.53157E-6	-85.665502
1.531615E-6	-120
1.53166E-6	-120
1.531705E-6	-85.073793
1.53175E-6	-78.253588
1.531795E-6	-74.265482
1.53184E-6	-73.183066
1.531885E-6	-72.88699
1.53193E-6	-73.068889
1.531975E-6	-72.823295
1.53202E-6	-73.247717
1.532065E-6	-73.175841
1.53211E-6	-73.805936
1.532155E-6	-76.0206
1.5322E-6	-79.726504
1.532245E-6	-87.128704
1.53229E-6	-86.11366
1.532335E-6	-103.347005
1.53238E-6	-120
1.532425E-6	-90.087739
1.53247E-6	-85.304725
1.532515E-6	-80.544822
1.53256E-6	-75.319482
1.532605E-6	-73.534002
1.53265E-6	-73.203904
1.532695E-6	-73.175841
1.53274E-6	-73.208448
1.532785E-6	-73.29105
1.53283E-6	-73.084765
1.532875E-6	-73.691655
1.53292E-6	-75.597208
1.532965E-6	-79.248181
1.53301E-6	-83.224843
1.533055E-6	-88.548036
1.5331E-6	-89.850597
1.533145E-6	-112.787666
1.53319E-6	-120
1.533235E-6	-93.494011
1.53328E-6	-82.943073
1.533325E-6	-77.246886
1.53337E-6	-74.383025
1.533415E-6	-73.793435
1.53346E-6	-73.56646
1.533505E-6	-73.436143
1.53355E-6	-73.537924
1.533595E-6	-73.718155
1.53364E-6	-73.746875
1.533685E-6	-74.759936
1.53373E-6	-77.682756
1.533775E-6	-82.310661
1.53382E-6	-87.015836
1.533865E-6	-94.509967
1.53391E-6	-88.335699
1.533955E-6	-89.104481
1.534E-6	-97.344747
1.534045E-6	-87.617029
1.53409E-6	-80.474982
1.534135E-6	-76.23423
1.53418E-6	-74.66355
1.534225E-6	-74.292236
1.53427E-6	-74.468455
1.534315E-6	-74.329736
1.53436E-6	-74.432152
1.534405E-6	-74.334447
1.53445E-6	-74.89187
1.534495E-6	-76.802695
1.53454E-6	-79.909743
1.534585E-6	-85.064026
1.53463E-6	-87.380238
1.534675E-6	-120
1.53472E-6	-120
1.534765E-6	-89.846402
1.53481E-6	-120
1.534855E-6	-84.244658
1.5349E-6	-78.951716
1.534945E-6	-75.689581
1.53499E-6	-75.268051
1.535035E-6	-74.895891
1.53508E-6	-75.058454
1.535125E-6	-75.082182
1.53517E-6	-75.089186
1.535215E-6	-75.418156
1.53526E-6	-76.285627
1.535305E-6	-79.450041
1.53535E-6	-83.126494
1.535395E-6	-91.692189
1.53544E-6	-120
1.535485E-6	-90.47692
1.53553E-6	-91.483137
1.535575E-6	-120
1.53562E-6	-90.436875
1.535665E-6	-81.743792
1.53571E-6	-77.288557
1.535755E-6	-76.337639
1.5358E-6	-75.892228
1.535845E-6	-75.798792
1.53589E-6	-75.489815
1.535935E-6	-75.895602
1.53598E-6	-75.779028
1.536025E-6	-75.841923
1.53607E-6	-78.315025
1.536115E-6	-80.703257
1.53616E-6	-87.055338
1.536205E-6	-96.657474
1.53625E-6	-120
1.536295E-6	-93.347944
1.53634E-6	-120
1.536385E-6	-89.496202
1.53643E-6	-84.92819
1.536475E-6	-79.359166
1.53652E-6	-76.710091
1.536565E-6	-76.742791
1.53661E-6	-76.041496
1.536655E-6	-76.36388
1.5367E-6	-76.165437
1.536745E-6	-76.187044
1.53679E-6	-76.104795
1.536835E-6	-77.263044
1.53688E-6	-79.54677
1.536925E-6	-84.429743
1.53697E-6	-87.461776
1.537015E-6	-93.727366
1.53706E-6	-120
1.537105E-6	-120
1.53715E-6	-93.37431
1.537195E-6	-88.850556
1.53724E-6	-82.642415
1.537285E-6	-79.139963
1.53733E-6	-76.759234
1.537375E-6	-76.456994
1.53742E-6	-76.736641
1.537465E-6	-76.538427
1.53751E-6	-76.641411
1.537555E-6	-76.625407
1.5376E-6	-77.099654
1.537645E-6	-79.746941
1.53769E-6	-82.076784
1.537735E-6	-88.591778
1.53778E-6	-120
1.537825E-6	-98.44057
1.53787E-6	-91.337127
1.537915E-6	-93.977229
1.53796E-6	-96.104795
1.538005E-6	-86.129663
1.53805E-6	-80.386738
1.538095E-6	-77.614521
1.53814E-6	-76.706021
1.538185E-6	-76.437829
1.53823E-6	-76.93575
1.538275E-6	-76.701955
1.53832E-6	-76.769543
1.538365E-6	-76.933606
1.53841E-6	-77.486051
1.538455E-6	-79.842212
1.5385E-6	-83.816381
1.538545E-6	-91.742494
1.53859E-6	-95.62091
1.538635E-6	-92.238802
1.53868E-6	-90.917831
1.538725E-6	-97.532553
1.53877E-6	-91.850203
1.538815E-6	-82.808345
1.53886E-6	-79.04482
1.538905E-6	-77.418418
1.53895E-6	-78.215987
1.538995E-6	-76.784016
1.53904E-6	-76.272721
1.539085E-6	-76.609463
1.53913E-6	-76.320853
1.539175E-6	-76.987529
1.53922E-6	-78.300318
1.539265E-6	-79.833845
1.53931E-6	-87.349462
1.539355E-6	-95.657505
1.5394E-6	-87.715996
1.539445E-6	-101.210763
1.53949E-6	-120
1.539535E-6	-120
1.53958E-6	-86.489771
1.539625E-6	-80.601813
1.53967E-6	-77.258422
1.539715E-6	-76.172627
1.53976E-6	-76.371407
1.539805E-6	-76.456994
1.53985E-6	-76.196078
1.539895E-6	-76.542343
1.53994E-6	-77.033348
1.539985E-6	-77.246886
1.54003E-6	-79.430951
1.540075E-6	-83.523237
1.54012E-6	-120
1.540165E-6	-91.697322
1.54021E-6	-120
1.540255E-6	-92.221384
1.5403E-6	-120
1.540345E-6	-87.85421
1.54039E-6	-83.81429
1.540435E-6	-79.161392
1.54048E-6	-77.002748
1.540525E-6	-76.420652
1.54057E-6	-76.245193
1.540615E-6	-76.124322
1.54066E-6	-76.333903
1.540705E-6	-76.443569
1.54075E-6	-76.734593
1.540795E-6	-78.777841
1.54084E-6	-80.75669
1.540885E-6	-87.055338
1.54093E-6	-89.637705
1.540975E-6	-90.713993
1.54102E-6	-88.236193
1.541065E-6	-97.481185
1.54111E-6	-88.535619
1.541155E-6	-87.033348
1.5412E-6	-81.234935
1.541245E-6	-77.354183
1.54129E-6	-76.552149
1.541335E-6	-76.172627
1.54138E-6	-75.668705
1.541425E-6	-76.124322
1.54147E-6	-75.88212
1.541515E-6	-76.232406
1.54156E-6	-76.85922
1.541605E-6	-79.484616
1.54165E-6	-81.778973
1.541695E-6	-89.023957
1.54174E-6	-94.350973
1.541785E-6	-120
1.54183E-6	-120
1.541875E-6	-120
1.54192E-6	-87.977842
1.541965E-6	-84.306261
1.54201E-6	-78.884015
1.542055E-6	-76.487837
1.5421E-6	-75.833595
1.542145E-6	-75.668705
1.54219E-6	-75.36107
1.542235E-6	-75.553308
1.54228E-6	-75.687971
1.542325E-6	-76.110112
1.54237E-6	-77.212464
1.542415E-6	-79.54677
1.54246E-6	-82.571178
1.542505E-6	-86.29672
1.54255E-6	-105.89729
1.542595E-6	-99.020489
1.54264E-6	-98.303256
1.542685E-6	-91.348368
1.54273E-6	-90.24844
1.542775E-6	-81.049091
1.54282E-6	-76.757175
1.542865E-6	-76.097716
1.54291E-6	-75.692801
1.542955E-6	-75.575202
1.543E-6	-75.632015
1.543045E-6	-75.374523
1.54309E-6	-75.437858
1.543135E-6	-75.840256
1.54318E-6	-77.13319
1.543225E-6	-80.823895
1.54327E-6	-86.763355
1.543315E-6	-88.262312
1.54336E-6	-88.703101
1.543405E-6	-89.669786
1.54345E-6	-95.290018
1.543495E-6	-90.678308
1.54354E-6	-85.262212
1.543585E-6	-79.948195
1.54363E-6	-76.639407
1.543675E-6	-75.570501
1.54372E-6	-75.628839
1.543765E-6	-76.167233
1.54381E-6	-75.409092
1.543855E-6	-75.595632
1.5439E-6	-75.802094
1.543945E-6	-76.185239
1.54399E-6	-78.696662
1.544035E-6	-81.872203
1.54408E-6	-87.788467
1.544125E-6	-86.197888
1.54417E-6	-95.503673
1.544215E-6	-120
1.54426E-6	-91.045775
1.544305E-6	-99.023957
1.54435E-6	-82.44049
1.544395E-6	-78.591778
1.54444E-6	-75.836924
1.544485E-6	-75.036239
1.54453E-6	-75.254924
1.544575E-6	-75.394028
1.54462E-6	-75.236032
1.544665E-6	-75.568935
1.54471E-6	-75.22011
1.544755E-6	-76.583677
1.5448E-6	-79.255493
1.544845E-6	-83.299398
1.54489E-6	-87.011469
1.544935E-6	-87.652297
1.54498E-6	-88.395315
1.545025E-6	-83.732491
1.54507E-6	-76.219657
1.545115E-6	-63.165927
1.54516E-6	-49.430951
1.545205E-6	-42.93709
1.54525E-6	-40.750491
1.545295E-6	-40.273344
1.54534E-6	-40.166895
1.545385E-6	-40.150229
1.54543E-6	-40.152027
1.545475E-6	-40.541377
