#PIN	POUT	GAINFLATNESS	NF
-17	-7	0.840818	21.3266595081
-16	-6	0.631518	20.4735318769
-15	-5	0.545503	19.6770087412
-14	-4	0.505486	19.1117624857
-13	-3	0.417053	18.6579408708
-12	-2	0.365135	18.2925464016
-11	-1	0.310241	17.9957210004
-10	0	0.29537	17.7546800978
-9	1	0.23577	17.5691223065
-8	2	0.238406	17.3788695513
-7	3	0.203192	17.260236695
-6	4	0.215292	17.1028198973
-5	5	0.209845	16.9483933897
-4	6	0.219896	16.8026892546
-3	7	0.25452	16.6486089582
-2	8	0.226759	16.4837517725
-1	9	0.447098	16.2190107769
0	10	0.452243	16.0545452413
1	11	0.458044	15.9126450148
2	12	0.597849	15.83992342
3	13	0.568144	15.7183540911
4	14	0.589663	15.6356647039
5	15	1.238079	16.3403500046
6	16	1.26788	16.1034220256
7	17	1.155458	15.8557210986
8	18	1.099739	15.9517542531
9	19	1.00637	15.7170904692
10	20	1.843005	17.117573255
-18	-7	0.697102	20.2530485561
-17	-6	0.530065	19.2219817953
-16	-5	0.438339	18.4127204154
-15	-4	0.34299	17.8534879382
-14	-3	0.236027	17.3428913067
-13	-2	0.276337	16.9967588104
-12	-1	0.197502	16.7175525979
-11	0	0.187408	16.4936854197
-10	1	0.131195	16.2826684014
-9	2	0.111454	16.109650909
-8	3	0.098058	15.9598161498
-7	4	0.120946	15.7416802605
-6	5	0.064625	15.590840497
-5	6	0.215151	15.4631355216
-4	7	0.229384	15.2676843004
-3	8	0.231256	15.0928589799
-2	9	0.437129	14.8569933844
-1	10	0.42661	14.6793290607
0	11	0.451109	14.4783548684
1	12	0.551483	14.4610487088
2	13	0.528964	14.3712613574
3	14	0.544278	14.2351186382
4	15	1.133784	14.665816484
5	16	1.12431	14.4585506053
6	17	1.044685	14.2054035706
7	18	1.029055	14.2826017694
8	19	1.012883	14.0794480415
9	20	1.63082	15.3762585381
10	21	2.453085	16.8536331168
-19	-7	0.749545	18.9749543521
-18	-6	0.637173	18.0432385224
-17	-5	0.502985	17.2580178285
-16	-4	0.431172	16.6677895094
-15	-3	0.400477	16.1595391124
-14	-2	0.328281	15.7651856758
-13	-1	0.288958	15.4774846952
