Target Gain(db)	Pin (dBm)	Target Output (dBm))	Gain Flatness (dB)	Noise Figure (dB)	Src ch (dB)	Amp ch (dB)	
10.0	-17.0	-7.0	1.28	22.67	2	2
10.0	-16.0	-6.0	1.06	21.38	2	2
10.0	-15.0	-5.0	0.91	19.41	2	2
10.0	-14.0	-4.0	0.89	18.27	2	2
10.0	-13.0	-3.0	0.84	15.03	2	2
10.0	-12.0	-2.0	0.75	nan	2	2
10.0	-11.0	-1.0	0.74	nan	2	2
10.0	-10.0	0.0	0.70	nan	2	2
10.0	-9.0	1.0	0.67	nan	2	2
10.0	-8.0	2.0	0.65	nan	2	2
10.0	-7.0	3.0	0.65	nan	2	2
10.0	-6.0	4.0	0.62	20.93	2	2
10.0	-5.0	5.0	0.61	21.56	2	2
10.0	-4.0	6.0	0.62	nan	4	4
10.0	-3.0	7.0	0.66	20.08	4	4
10.0	-2.0	8.0	0.64	24.97	4	4
10.0	-1.0	9.0	0.70	nan	8	8
10.0	0.0	10.0	0.75	nan	8	8
10.0	1.0	11.0	0.72	nan	8	8
10.0	2.0	12.0	0.87	15.82	16	16
10.0	3.0	13.0	1.33	nan	16	16
10.0	4.0	14.0	1.33	nan	16	16
10.0	5.0	15.0	1.54	nan	24	24
10.0	6.0	16.0	1.49	nan	24	24
10.0	7.0	17.0	1.45	nan	24	24
10.0	8.0	18.0	1.50	nan	48	48
10.0	9.0	19.0	1.49	nan	48	48
10.0	10.0	20.0	2.00	17.10	48	48
11.0	-18.0	-7.0	1.13	21.44	2	2
11.0	-17.0	-6.0	0.98	21.14	2	2
11.0	-16.0	-5.0	0.86	21.03	2	2
11.0	-15.0	-4.0	0.75	17.06	2	2
11.0	-14.0	-3.0	0.67	nan	2	2
11.0	-13.0	-2.0	0.65	nan	2	2
11.0	-12.0	-1.0	0.58	nan	2	2
11.0	-11.0	0.0	0.59	nan	2	2
11.0	-10.0	1.0	0.56	nan	2	2
11.0	-9.0	2.0	0.52	nan	2	2
11.0	-8.0	3.0	0.51	nan	2	2
11.0	-7.0	4.0	0.49	nan	2	2
11.0	-6.0	5.0	0.51	20.96	2	2
11.0	-5.0	6.0	0.60	16.08	4	4
11.0	-4.0	7.0	0.64	nan	4	4
11.0	-3.0	8.0	0.64	22.71	4	4
11.0	-2.0	9.0	0.73	nan	8	8
11.0	-1.0	10.0	0.75	nan	8	8
11.0	0.0	11.0	0.74	16.74	8	8
11.0	1.0	12.0	1.31	nan	16	16
11.0	2.0	13.0	1.31	nan	16	16
11.0	3.0	14.0	1.28	nan	16	16
11.0	4.0	15.0	1.40	nan	24	24
11.0	5.0	16.0	1.37	nan	24	24
11.0	6.0	17.0	1.28	14.24	24	24
11.0	7.0	18.0	1.56	14.32	48	48
11.0	8.0	19.0	1.60	nan	48	48
11.0	9.0	20.0	1.95	nan	48	48
11.0	10.0	21.0	2.78	nan	48	48
12.0	-19.0	-7.0	1.17	20.31	2	2
12.0	-18.0	-6.0	0.96	19.80	2	2
12.0	-17.0	-5.0	0.92	19.64	2	2
12.0	-16.0	-4.0	0.83	19.03	2	2
12.0	-15.0	-3.0	0.75	nan	2	2
12.0	-14.0	-2.0	0.74	nan	2	2
12.0	-13.0	-1.0	0.69	nan	2	2
12.0	-12.0	0.0	0.66	nan	2	2
12.0	-11.0	1.0	0.63	nan	2	2
12.0	-10.0	2.0	0.60	nan	2	2
12.0	-9.0	3.0	0.60	nan	2	2
12.0	-8.0	4.0	0.57	nan	2	2
